Source.Name,Date,EmpID,Gender,Age,EthnicGroup,FP,TermDate,isNewHire,BU Region,HireDate,PayType,TermReason,AgeGroup,TenureDays,TenureMonths,BadHires
201501.csv,1/1/2015,1950,M,36,Group A,PT, , ,North,27/08/2008,Hourly, ,30-49,857,28.57,0
201501.csv,1/1/2015,5202,M,22,Group E,PT, , ,North,12/08/2010,Hourly, ,<30,142,4.73,0
201501.csv,1/1/2015,16664,M,24,Group F,PT, , ,North,25/09/2008,Hourly, ,<30,828,27.6,0
201501.csv,1/1/2015,17146,F,21,Group D,PT, , ,West,16/11/2010,Hourly, ,<30,46,1.53,0
201501.csv,1/1/2015,18230,M,45,Group A,PT, , ,North,24/10/2007,Hourly, ,30-49,1165,38.83,0
201501.csv,1/1/2015,21208,M,27,Group A,FT, , ,Northwest,13/07/2000,Hourly, ,<30,3824,127.47,0
201501.csv,1/1/2015,21544,F,24,Group B,PT, , ,Northwest,2/09/2010,Hourly, ,<30,121,4.03,0
201501.csv,1/1/2015,26228,M,53,Group D,PT, , ,North,17/09/2008,Hourly, ,50+,836,27.87,0
201501.csv,1/1/2015,26954,M,85,Group B,PT, , ,West,27/08/2009,Hourly, ,50+,492,16.4,0
201501.csv,1/1/2015,29062,M,41,Group G,FT, , ,Midwest,26/05/2009,Hourly, ,30-49,585,19.5,0
201501.csv,1/1/2015,29632,M,26,Group F,PT, , ,Central,1/04/2010,Hourly, ,<30,275,9.17,0
201501.csv,1/1/2015,30248,F,37,Group C,FT, , ,Northwest,14/11/2006,Hourly, ,30-49,1509,50.3,0
201501.csv,1/1/2015,33124,M,25,Group F,PT, , ,North,14/08/2007,Hourly, ,<30,1236,41.2,0
201501.csv,1/1/2015,33240,F,28,Group E,FT, , ,Midwest,26/06/2002,Salary, ,<30,3111,103.7,0
201501.csv,1/1/2015,33258,M,33,Group D,FT, , ,West,4/04/2008,Salary, ,30-49,1002,33.4,0
201501.csv,1/1/2015,33262,F,46,Group E,FT, , ,Northwest,19/03/2008,Salary, ,30-49,1018,33.93,0
201501.csv,1/1/2015,33288,F,44,Group G,FT, , ,East,16/07/2008,Salary, ,30-49,899,29.97,0
201501.csv,1/1/2015,33296,F,31,Group G,FT, , ,East,27/08/2008,Salary, ,30-49,857,28.57,0
201501.csv,1/1/2015,40406,M,46,Group B,FT, , ,North,9/04/2005,Hourly, ,30-49,2093,69.77,0
201501.csv,1/1/2015,40436,F,22,Group C,PT, , ,North,21/06/2007,Hourly, ,<30,1290,43,0
201501.csv,1/1/2015,40472,F,54,Group E,FT, , ,North,18/05/2005,Hourly, ,50+,2054,68.47,0
201501.csv,1/1/2015,40542,M,44,Group D,PT, , ,North,21/06/2005,Hourly, ,30-49,2020,67.33,0
201501.csv,1/1/2015,40548,F,28,Group E,FT, , ,North,2/05/2007,Hourly, ,<30,1340,44.67,0
201501.csv,1/1/2015,40554,M,65,Group C,PT, , ,North,23/02/2007,Hourly, ,50+,1408,46.93,0
201501.csv,1/1/2015,40754,F,21,Group D,PT, , ,North,7/08/2008,Hourly, ,<30,877,29.23,0
201501.csv,1/1/2015,41050,M,26,Group F,PT, , ,Midwest,29/12/2007,Hourly, ,<30,1099,36.63,0
201501.csv,1/1/2015,41082,F,20,Group F,PT, , ,Midwest,18/02/2010,Hourly, ,<30,317,10.57,0
201501.csv,1/1/2015,41332,M,23,Group G,FT, , ,Midwest,20/10/2009,Hourly, ,<30,438,14.6,0
201501.csv,1/1/2015,41344,M,63,Group F,PT, , ,Midwest,30/08/2005,Hourly, ,50+,1950,65,0
201501.csv,1/1/2015,42684,M,22,Group A,FT, , ,South,14/02/2006,Hourly, ,<30,1782,59.4,0
201501.csv,1/1/2015,42892,M,56,Group G,FT, , ,South,19/06/2007,Hourly, ,50+,1292,43.07,0
